Q,cL,cR
9.943802,0.4052357156527221,0.4052357156527221
12.1336,0.40148949868773587,0.40148949868773587
14.80563,0.39777507453434263,0.39777507453434263
18.06608,0.39409220814865875,0.39409220814865875
22.04454,0.39044064604423184,0.39044064604423184
26.89913,0.3868201616937985,0.3868201616937985
32.82278,0.3832305092220602,0.3832305092220602
40.05092,0.379671451033301,0.379671451033301
48.87083,0.37614275202234326,0.37614275202234326
59.63303,0.37264417517023385,0.37264417517023385
72.76525,0.3691755000819939,0.3691755000819939
80.379,0.3674522960893053,0.3674522960893053
98.07984,0.36383725954220897,0.36390708305714453
119.6787,0.35984266895033074,0.3598185303391512
146.034,0.35580240152744286,0.35560424387372813
178.1932,0.35173130188839763,0.3512600879837505
217.4345,0.3476449691014445,0.34679068718098827
265.3173,0.34355751181129074,0.3422068641021903
323.7447,0.3394803001112816,0.3375225132191441
395.0389,0.3354217862906816,0.3327517994454117
482.0333,0.3313877769469446,0.3279074951955861
588.1853,0.3273820921810929,0.3230000998193789
717.7138,0.3234069148469155,0.3180377599856625
875.7668,0.31946333848550146,0.3130263317176878
1068.626,0.31555166831123843,0.3079697398805311
1303.956,0.31167164581497475,0.30287027676611306
1591.109,0.30782262016788575,0.29772896704402446
1941.499,0.3040035961567033,0.29254570969299437
2369.05,0.30021332197189327,0.2873195579456067
2890.756,0.29645051680358975,0.2820490047443211
3527.35,0.29271364167300545,0.27673181288826115
4304.134,0.28900091510487647,0.2713652965756927
5251.978,0.28531046932030146,0.2659463909933137
6408.554,0.28164010969362346,0.2604714785845334
7819.828,0.27798762116354847,0.25493661685433777
9541.889,0.2743505894115387,0.24933767599269274
11643.18,0.2708091248436097,0.2441950751936176
14207.21,0.26730693106427905,0.2391124646189645
17335.88,0.2638224599805463,0.23395998574319307
21153.54,0.26035335823127925,0.22873340353230573
25811.91,0.2568972131323172,0.22342906021115957
31496.14,0.25345166921529094,0.2180435692796447
38432.13,0.2500145946925908,0.21257346239511868
46895.55,0.2465836284228104,0.2070154297897321
57222.76,0.24315673458406048,0.20136710758879398
